strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
+ATBR_a_1,,,,1.0,0.0,160.79636,158.89818,0.0,0.1,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.4759999999999999,0.0007220000000000001,3.19,900.0,1.25e-06,61.65085365828352,0.0,88.69999999999997,572.6,661.3,572.6,661.3,88.69999999999997
+ATBR_a_0,,,,1.0,0.0,162.69454,160.79636,0.0,0.1,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.4759999999999999,0.0007220000000000001,3.19,900.0,1.25e-06,63.328815887196825,0.0,88.69999999999997,661.3,749.9999999999999,661.3,749.9999999999999,88.69999999999997
~ATBR3-+ATBR_a_0,,,,0.0,0,163.19454,162.69454,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
ATBR3,,1183.0,1229.0,1.0,46.0,164.195632,163.19454,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.43299999999999994,0.0006715,3.29,900.0,1.2499999999999999e-06,37.137449405924464,64.44832349204509,0.0,1183.0,1229.0,749.9999999999999,800.0044560422944,50.004456042294414
ATBRM,,1229.0,1275.0,1.0,46.0,165.196724,164.195632,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.43299999999999994,0.0006715,3.29,900.0,1.2499999999999999e-06,37.407019916039125,64.90880955692819,0.0,1229.0,1275.0,800.0044560422944,849.8034826345935,49.799026592299164
ATBR2,,1275.0,1308.0,1.0,33.0,166.197816,165.196724,0.0,0.3,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.43299999999999994,0.0006715,3.29,900.0,1.25e-06,26.99694671547417,47.05191884475599,0.0,1275.0,1308.0,849.8034826345935,885.4086753648292,35.605192730235615
ATBRL,,1308.0,1353.0,1.0,45.0,167.198908,166.197816,0.0,0.3,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.43299999999999994,0.0006715,3.29,900.0,1.25e-06,37.02547381615195,64.25701287617098,0.0,1308.0,1353.0,885.4086753648292,933.8115644535098,48.40288908868064
ATBR1,,1353.0,1416.9,1.0,63.90000000000009,168.2,167.198908,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.49,0.00079,3.1999999999999997,900.0,1.2499999999999999e-06,53.414795672926886,100.96663747686,0.0,1353.0,1416.9,933.8115644535098,1003.003980746978,69.19241629346813
ATWDU_s_1,,1416.9,1482.75,1.0,65.84999999999991,169.14999999999998,168.2,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.574,0.0008669999999999999,2.71,900.0,1.2499999999999999e-06,55.094781496694296,121.05876391806883,0.0,1416.9,1482.75,1003.003980746978,1074.856537901698,71.85255715471995
ATWDU,,1482.75,1548.6,1.0,65.84999999999991,170.1,169.14999999999998,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.574,0.0008669999999999999,2.71,900.0,1.2499999999999999e-06,55.69161849316076,122.29322973539288,0.0,1482.75,1548.6,1074.856537901698,1146.1801882992775,71.32365039757956
ATWDM,,1548.6,1588.4,1.0,39.80000000000018,170.6,170.1,0.0,0.3,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.391,0.0004345,3.47,900.0,1.25e-06,31.92795084720649,52.051763340596835,0.0,1548.6,1588.4,1146.1801882992775,1187.9410092285777,41.76082092930018
ATWDL_s_2,,1588.4,1678.2,1.0,89.79999999999995,172.9333333333333,170.59999999999997,0.0,0.0,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.5409999999999999,0.0007375,2.87,900.0,1.25e-06,75.23133525465099,153.9761239202349,0.0,1588.4,1678.2,1187.9410092285777,1284.0772878635821,96.13627863500437
ATWDL_s_1,,1678.2,1768.0,1.0,89.79999999999995,175.26666666666665,172.9333333333333,0.0,0.0,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.5409999999999999,0.0007375,2.87,900.0,1.25e-06,76.16492561266156,155.78051355317666,0.0,1678.2,1768.0,1284.0772878635821,1379.5961708606942,95.51888299711204
ATWDL,,1768.0,1857.8,1.0,89.79999999999995,177.6,175.26666666666665,0.0,0.0,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.5409999999999999,0.0007375,2.87,900.0,1.25e-06,77.0386895574899,157.46725076435843,0.0,1768.0,1857.8,1379.5961708606942,1474.5740892649308,94.97791840423659
~ATPO-ATWDL,,,,0.0,0,178.0,177.6,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
ATPO,,1857.8,1888.6,1.0,30.799999999999955,183.0,178.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,27.318823245194917,66.94617526403714,0.0,1857.8,1888.6,1474.5740892649308,1507.074314733333,32.50022546840223
ATAL_s_2,,1888.6,1968.3333333333333,1.0,79.73333333333342,188.53333333333333,183.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,71.15717587259581,164.3410667176419,0.0,1888.6,1968.3333333333333,1507.074314733333,1590.9215815462492,83.84726681291616
ATAL_s_1,,1968.3333333333333,2048.0666666666666,1.0,79.73333333333342,194.06666666666666,188.53333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,71.75103832784569,165.59350529556343,0.0,1968.3333333333333,2048.0666666666666,1590.9215815462492,1674.3879884274309,83.46640688118167
