timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48,z_node_49,T_node_49,z_node_50,T_node_50,z_node_51,T_node_51,z_node_52,T_node_52,z_node_53,T_node_53,z_node_54,T_node_54,z_node_55,T_node_55,z_node_56,T_node_56,z_node_57,T_node_57,z_node_58,T_node_58,z_node_59,T_node_59,z_node_60,T_node_60,z_node_61,T_node_61,z_node_62,T_node_62,z_node_63,T_node_63,z_node_64,T_node_64,z_node_65,T_node_65,z_node_66,T_node_66,z_node_67,T_node_67,z_node_68,T_node_68
24,26729999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.69199999999985,51.24532909919487,16.762468760278846,102.49065819838974,18.83331953553909,180.71556365832316,21.831171823952626,258.9404691182566,24.83275549866523,332.8878609579878,27.5114381472097,406.835252797719,30.19235744693123,477.49726325271797,32.62935106911551,548.1592737077169,35.06767763235535
25,26679999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.6720000000001,60.08073066802156,17.09034320167392,120.16146133604312,19.50918284391291,197.8021132239325,22.464612161961952,275.44276511182187,25.42360751760708,348.9485904584957,28.070867629022533,422.45441580516956,30.72026688729195,492.76930167687186,33.13300685399882,563.0841875485742,35.54701786963188
26,26629999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.651999999999962,68.91613223684827,17.415630171417856,137.83226447369654,20.179876417551817,214.88866278954185,23.093449849595242,291.9450611053872,26.010429649695443,365.0093199590036,28.626628874020046,438.0735788126201,31.244872710840344,508.04134010102575,33.63360324025473,578.0091013894314,36.02354463734519
27,26579999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.631999999999834,77.75153380567497,17.738362895164123,155.50306761134993,20.845463460572482,231.97521235515126,23.717736721617822,308.4473570989526,26.593262188660063,381.07004945951155,29.178755940265802,453.6927418200706,31.766202663528517,523.3133785251796,34.13116429478236,592.9340152302887,36.49727828535847
28,26529999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.612000000000144,5.278434888962532,14.829388814571228,10.556869777925064,15.046782800361832,91.4946064765864,18.260146308133617,172.43234317524772,21.478133441273368,248.40750285037564,24.315250100156177,324.3826625255035,27.15513542819893,396.6215793199438,29.713672423662214,468.8604961143841,32.27388732863292,538.1745925333867,34.617486934866214,607.4886889523891,36.96207577841651
29,26479999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.591999999999892,14.075826370566752,15.169521491371531,28.151652741133503,15.747078067915272,108.50945988222097,18.91545732872777,188.86726702330844,22.088261340329726,264.4036206320101,24.892375296943715,339.93997424071165,27.69913429510595,411.8336427536589,30.23237576054389,483.7273112666062,32.76721062509225,552.761923597629,35.09078328420135,621.7965359286519,37.415284058571636
30,26429999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.57199999999992,22.87321785217097,15.506924604988182,45.74643570434194,16.44193746926544,125.52431328785553,19.565839578123615,205.30219087136913,22.693978501342134,280.39973841364446,25.465391246655287,355.4972859559198,28.239339350154943,427.04570618737404,30.747487246782356,498.5941264188283,33.257159284503054,567.3492546618714,35.5608587050471,636.1043829049146,37.86543985862989
31,26379999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.55199999999994,31.67060933377519,15.84163839365301,63.34121866755038,17.13143772196672,142.53916669349013,20.21146351284064,221.73711471942985,23.29554483570399,296.3958561952789,26.034634023204738,371.0545976711279,28.77615280059657,442.25776962108915,31.259459750681383,513.4609415710504,33.74422421035713,581.9365857261139,36.02822768598293,650.4122298811773,38.31306841371214
32,26329999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.53200000000001,40.46800081537941,16.173698621358778,80.93600163075882,17.815646711639772,159.5540200991247,20.852390910264614,238.17203856749057,23.893015497144663,312.3919739769133,26.600156896121714,386.61190938633604,29.30962531553962,457.4698330548043,31.768343149180673,528.3277567232726,34.22845370890468,596.5239167903562,36.4929375934607,664.72007685744,38.75821540269178
33,26279999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.511999999999825,49.265392296983634,16.503139532284788,98.53078459396727,18.494629399749712,176.56887350475927,21.488674999490044,254.60696241555127,24.486431774807496,328.3880917585477,27.16199488781131,402.16922110154417,29.83978552905223,472.68189648851944,32.274162436793716,543.1945718754947,34.70986904889163,611.1112478545987,36.955007421245824,679.0279238337026,39.20089747766475
34,26229999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.492000000000054,58.06278377858785,16.829994665353137,116.1255675571757,19.168449448887976,193.58372691039384,22.120367663251695,271.04188626361196,25.075833591319885,344.38420954018216,27.720181521773362,417.7265328167523,30.36666048419055,487.89395992223456,32.776940911250634,558.0613870277168,35.18848974102265,625.6985789188411,37.41445436095891,693.3357708099653,39.641129487588636
35,26179999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.47200000000025,66.86017526019208,17.154296960141735,133.72035052038416,19.837169430718795,210.59858031602843,22.74751998855245,287.4768101116727,25.66126037601075,360.3803273218166,28.274749958599944,433.2838445319604,30.890276996134933,503.10602335594973,33.27670170635529,572.928202179939,35.6643351997694,640.2859099830835,37.87129554370096,707.643617786228,40.0789262598127
36,26129999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.451999999999913,75.65756674179629,17.476078780072314,151.31513348359258,20.50085086870878,227.613433721663,23.370182322677973,303.9117339597334,26.242751132514154,376.376445103451,28.825733077333858,448.84115624716856,31.41066174478615,518.3180867896649,33.773467894245464,587.7950173321611,36.137424852511195,654.873241047326,38.325548153719204,721.9514647624908,40.51430271556914
37,26079999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.432,3.5027408495889656,14.576312226082107,7.005481699177931,14.720626709471281,87.71135076410104,17.928467474464604,168.41721982902416,21.140896518803068,244.19321585729563,23.973831213811838,319.96921188556706,26.809528441817744,392.033340248944,29.36477964425047,464.097468612321,31.921719452799785,533.2560261802724,34.26267447090796,602.4145837482239,36.604637309686076,669.2330417001167,38.77510898699646,736.0514996520094,40.946133290293616
38,26029999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.411999999999948,12.25959297356138,14.915244003555173,24.51918594712276,15.418514404191564,104.64972359745661,18.581908710548312,184.78026124779046,21.749697512234697,260.1203910879253,24.550036520317118,335.46052092806025,27.353007801929213,407.1814014402251,29.883274336200607,478.90228195238996,32.41513030053395,547.7827795062188,34.73629025022007,616.6632770600477,37.05837900852573,683.2515467357299,39.212757272059626,749.8398164114121,41.36762418205551
39,25979999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.39199999999999,21.016445097533794,15.251483405892088,42.03289019506759,16.111040714671816,121.58809643081217,19.23030606679421,201.14330266655676,22.35377936840175,276.0475663185551,25.121657056200164,350.9518299705534,27.892056494531797,422.32946263150615,30.397405840120342,493.7070952924589,32.904273519045624,562.3095328321652,35.2056955751701,630.9119703718716,37.50799782785397,697.2700517713431,39.64635433599239,763.6281331708147,41.785164674639496
40,25929999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.37200000000018,29.77329722150621,15.585064800016246,59.54659444301242,16.798270674918335,138.52646926416773,19.873972393580257,217.50634408532306,22.95370289361591,291.97474154918484,25.689469636861194,366.44313901304656,28.42765325940354,437.47752382278725,30.90831804114152,508.51190863252793,33.39043486544604,576.8362861581116,35.67228281193788,645.1606636836954,37.954966545084424,711.2885568069564,40.07742287963757,777.4164499302175,42.2003018917713
41,25879999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.352000000000196,38.53014934547863,15.91602558042625,77.06029869095725,17.48027548821517,155.46484209752333,20.512997238801667,233.8693855040894,23.54957476230141,307.90191677981454,26.253598779327305,381.9344480555397,28.959938201716074,452.6255850140683,31.416164918895202,523.316721972597,33.873779508527726,591.363039484058,36.136225949301846,659.4093569955191,38.39946521456483,725.3070618425696,40.506146677816375,791.2047666896201,42.61322071701813
42,25829999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.331999999999773,47.287001469451035,16.24439990465613,94.57400293890207,18.15711999463723,172.40321493087887,21.147437082279033,250.23242692285567,24.141442776490585,323.82909201044424,26.814088663539827,397.4257570980329,29.488951540664505,467.77364620534934,31.92098497586389,538.1215353126659,34.35434388603157,605.8897928100045,36.59756039569432,673.658050307343,38.84152787764137,739.3255668781829,40.9325588822547,804.9930834490228,43.02395309980708
